episode, reward, epsilon, hasWon
0, -33.00, 1.00, false
1, -30.00, 1.00, false
2, -30.00, 1.00, false
3, -29.00, 1.00, false
4, -27.00, 1.00, false
5, -29.00, 1.00, false
6, -28.00, 1.00, false
7, -31.00, 1.00, false
8, -27.00, 1.00, false
9, -30.00, 1.00, false
10, -31.00, 1.00, false
11, -28.00, 1.00, false
12, -29.00, 1.00, false
13, -29.00, 1.00, false
14, -31.00, 1.00, false
15, -30.00, 1.00, false
16, -31.00, 1.00, false
17, -33.00, 1.00, false
18, -31.00, 1.00, false
19, -30.00, 1.00, false
20, -28.00, 1.00, false
21, -29.00, 0.99, false
22, -29.00, 0.99, false
23, -29.00, 0.99, false
24, -30.00, 0.99, false
25, -29.00, 0.99, false
26, -29.00, 0.99, false
27, -29.00, 0.99, false
28, -34.00, 0.99, false
29, -37.00, 0.99, false
30, 32.00, 0.99, true
31, -28.00, 0.99, false
32, -34.00, 0.99, false
33, 34.00, 0.99, true
34, -31.00, 0.99, false
35, -30.00, 0.99, false
36, -34.00, 0.99, false
37, -32.00, 0.99, false
38, -38.00, 0.99, false
39, -29.00, 0.99, false
40, -32.00, 0.99, false
41, -29.00, 0.99, false
42, -29.00, 0.99, false
43, -29.00, 0.99, false
44, -27.00, 0.99, false
45, -34.00, 0.99, false
46, -30.00, 0.99, false
47, -34.00, 0.99, false
48, -29.00, 0.99, false
49, -34.00, 0.99, false
50, -29.00, 0.99, false
51, -31.00, 0.99, false
52, -30.00, 0.99, false
53, -29.00, 0.99, false
54, -33.00, 0.99, false
55, -28.00, 0.99, false
56, -30.00, 0.99, false
57, -30.00, 0.99, false
58, -28.00, 0.99, false
59, 34.00, 0.99, true
60, -29.00, 0.99, false
61, -31.00, 0.99, false
62, -32.00, 0.99, false
63, -28.00, 0.99, false
64, -29.00, 0.99, false
65, -32.00, 0.99, false
66, -30.00, 0.99, false
67, -33.00, 0.99, false
68, -29.00, 0.99, false
69, -29.00, 0.99, false
70, -31.00, 0.99, false
71, -30.00, 0.98, false
72, -30.00, 0.98, false
73, -31.00, 0.98, false
74, -30.00, 0.98, false
75, -31.00, 0.98, false
76, -29.00, 0.98, false
77, -32.00, 0.98, false
78, -28.00, 0.98, false
79, -28.00, 0.98, false
80, -30.00, 0.98, false
81, -30.00, 0.98, false
82, -31.00, 0.98, false
83, -30.00, 0.98, false
84, -30.00, 0.98, false
85, -33.00, 0.98, false
86, -31.00, 0.98, false
87, -29.00, 0.98, false
88, -34.00, 0.98, false
89, -31.00, 0.98, false
